Timestamp,お名前(ハンドル名。10文字以内),メッセージ(20文字以内)
12/13/2009 1:24:05,カースン・ネーピア,待ってろ、ジョン・カーター！
12/13/2009 1:25:54,いちなな,初音さんを宇宙へ！
12/13/2009 1:26:45,たけだっち,がんばれー
12/13/2009 1:26:48,libra_makisima,暁に輝くVenusのもとへ
12/13/2009 1:27:27,nicoscientist,これはすごいですね！支援。
12/13/2009 1:28:06,acha
12/13/2009 1:29:04,mtsk,ミッション成功を応援してます！
12/13/2009 1:29:19,Oryzias,頑張れあかつき！頑張れJAXA!
12/13/2009 1:30:08,フンドシマスク,JAXA、あかつきを応援しています
12/13/2009 1:32:40,新坂,がんばれあかつき！　がんばれミク！
12/13/2009 1:33:40,tartarossa,Fly me to the venus
12/13/2009 1:36:37,mterachan,JAXAのみなさん、のぞみの雪辱をミクとともに！
12/13/2009 1:39:44,ゆんゆん探偵,一足先に行っててね＞ミク。僕らもすぐに追いかけます。
12/13/2009 1:42:04,こげねずみ,金星人さんもミックミクにしてやんよ 
12/13/2009 1:44:19,ichigo,ミクも日本も頑張れ！
12/13/2009 1:45:15,コッペパン,ガンバ
12/13/2009 1:46:04,キョンジー,(ﾟ∀。)ﾓｳﾞｪｯ
12/13/2009 1:47:06,行き倒れの旅人,科学に再び浪漫を。遊び心に感動！
12/13/2009 1:48:18,そむにうむ＠森山弘樹,あかつきがんばれ！ミクがんばれ！！
12/13/2009 1:48:23,スワテイ,ご健勝お祈り申し上げます。ミクがんば！
12/13/2009 1:48:50,GreenOnion,みんな----っ!、俺の嫁に応援ありがとーーーっ!!!...............あれ？
12/13/2009 1:49:37,駄目回路,打ち上げ成功を祈って
12/13/2009 1:52:45,キシリア,宇宙もミクも好き。ＪＡＸＡがんばれ！
12/13/2009 1:57:52,kazzsa,私は日本の探査機運用に賛同します
12/13/2009 1:58:26,油冷発動機,JAXA、GJ!!
12/13/2009 1:59:34,うねうね,金星気象観測データ待ってます
12/13/2009 2:01:27,ヒデ,はちゅね宇宙へ！
12/13/2009 2:01:50,雑魚鯰,月の次は火星！その次は金星！！
12/13/2009 2:02:10,ラクシャさん,私達では見れないものを見ておいで
12/13/2009 2:02:32,PARpLe,それいけあかつき！ミクのせて小宇宙へ！
12/13/2009 2:09:47,縞熊猫,あかつきの手で、ミクをVenusへ
12/13/2009 2:10:47,miyabi000,私たちの夢を乗せて！飛んでっけー！あかつき＆はちゅね！！
12/13/2009 2:11:04,neko,あかつきfuturing初音ミク 期待しています。
12/13/2009 2:15:50,農家のおやぢ,頑張れJAXA!!　初音ミク搭載期待!!
12/13/2009 2:18:32,ddw,遠い将来誰かに発見されたら面白いじゃない
12/13/2009 2:23:56,rookery,星の風を知るためにがんばれ！
12/13/2009 2:25:00,胸熱,ただでさえ天使のミクが宇宙という舞台に上がり女神になろうとしているな
12/13/2009 2:25:23,はやしの,歌も金星まで届け!
12/13/2009 2:27:23,たりら,JAXA、あかつき、開発陣への思いを初音に込めて！
12/13/2009 2:27:36,Redzone,ミクとあかつきの無事を祈ってます！
12/13/2009 2:28:28,榊原善之,本当に行って欲しいから、あえて本名で。
12/13/2009 2:28:30,myfuna,がんばれあかつき！
12/13/2009 2:32:23,九森晴,勝利を。
12/13/2009 2:32:55,やち,安全祈願！
12/13/2009 2:53:15,flyroad,面白そうだから支援＾＾あかつきガンバレ
12/13/2009 2:54:37,あぐねすでじたる,歌声よ金星に届け～!
12/13/2009 2:57:24,こうしろう,貸し切りにして、みっくみくにしてやってください
12/13/2009 3:05:25,jjwonnow,太陽に突入しないでね♡
12/13/2009 3:31:36,nicht sein,金星に挨拶するミクって夢がありますね！
12/13/2009 3:34:53,ＪＩＮ,Bon Voyage　Ｍｉｋｕ
12/13/2009 3:35:55,omg
12/13/2009 3:38:51,おしょう,ミクを通した思いを乗せ往け！あかつき！
12/13/2009 3:49:07,真藤瑞希,金星への旅、成功を祈ります！
12/13/2009 4:27:07,浅沼　泰成
12/13/2009 4:31:35,k,別分野ですがVenusにはお世話になってます。大元の金星探査楽しみにしています。
12/13/2009 4:36:33,つりかけ,未来の夢よ、永遠にっ！！
12/13/2009 4:41:06,トマ,あかつきもミクも日本の誇り
12/13/2009 5:18:03,jiri,がんばれ　はちゅね！
12/13/2009 5:29:18,rocketman,あかつきが無事に任務を遂げることを祈っております。ミクを金星に連れてって！
12/13/2009 6:04:07,くろねこ1988,金星へ無事にたどり着けますように
12/13/2009 6:06:58,ななし,人間のかわりにどうか
12/13/2009 6:11:47,金髪高耳×傷,がんがれ！
12/13/2009 6:30:08,tiggy,•あかつき＆はちゅねガンバレー
12/13/2009 7:09:20,yoshian,ミクもあかつきもがんばれー！
12/13/2009 7:20:43,次郎柿,宇宙人がミク絵を見て誤解するかも(笑)
12/13/2009 7:23:48,facet,Bon courage !
12/13/2009 7:26:57,Ditty,実現したら面白そうですね。
12/13/2009 7:33:53,佐藤隆哉,ミッションの成功を祈る
12/13/2009 7:38:29,Kn.,金星もミックミクにしてやんよ♪
12/13/2009 7:41:55,sohda,無事届いて、探査が成功しますように。
12/13/2009 7:42:32,きゃお〜る,ミクと一緒に金星に届けて下さい
12/13/2009 8:05:55,ロトヤシャ,夢の宇宙へLet's go!
12/13/2009 8:11:17,nuno,金星に行くぞ～！！
12/13/2009 8:27:44,saisoku,星は違えど、のぞみの夢をかなえてください
12/13/2009 8:28:07,califra,素敵な旅になりそう！
12/13/2009 8:43:49,ヒゲキタ
12/13/2009 8:43:55,やなぎかずのり,はやぶさも頑張っている、あかつきも続け！
12/13/2009 8:53:01,inu,あかつきよ、歌姫とともに銀河の輝く星になれ！
12/13/2009 9:01:01,kawara,宇宙を歌で満たすために。
12/13/2009 9:01:11,つんじ,金星に届け、この歌声。
12/13/2009 9:01:37,ikumaru,ミク、あかつきよ宇宙へ
12/13/2009 9:05:23,vcld,あかつきとミクの旅の成功を祈ってます
12/13/2009 9:08:50,nigoh,ミク宇宙へ
12/13/2009 9:13:49,杉本み,ペリーローダンの世界がないかなぁ
12/13/2009 9:14:01,Soul Man,「あかつき」応援します。
12/13/2009 9:20:32,sparrow
12/13/2009 9:26:55,KK,がんばれあかつき。がんばれミク。
12/13/2009 9:33:58,Sackng,宇宙もミクも好きです！支援いますょー
12/13/2009 9:41:42,霧影,ミク金星進出オメ！
12/13/2009 9:56:22,畦道,JAXAとミクはできる子！！！！
12/13/2009 9:58:50,ほんとは兄のマスター,めぐり来るあかつきは何度もぼく等を照らす。
12/13/2009 10:02:03,ka-95,あかつきとミクを金星へ、頑張れJAXA！
12/13/2009 10:08:51,よっしー,荒涼たる金星の大地に地球の歌を！
12/13/2009 10:15:38,機響屋和助,宇宙の美しさ、知識に期待。がんばれ！
12/13/2009 10:17:05,sor,旅の無事を祈ります。
12/13/2009 10:19:31,白いぺんぎん,行ってらっしゃい！！
12/13/2009 10:22:35,k60j18,航路の無事を祈念致します。
12/13/2009 10:23:15,守山刹那,ミクの思い、みんなの夢、あかつきと共にヴィーナスまで届け！！
12/13/2009 10:26:27,かろのり,マスコミ&政治家に理解されるように(願
12/13/2009 10:36:42,このえ,ミクを宇宙へ！JAXAに予算を！！
12/13/2009 10:48:01,takatsu,応援してます
12/13/2009 10:49:09,温泉湯豆腐,夢とロマンに支援！　JAXAに予算を
12/13/2009 10:50:02,チュータロウ,ミクもあかつきも頑張れー！
12/13/2009 10:52:27,あび,プラCがんば！無事にミクが金星に着けますように！
12/13/2009 10:57:15,白熊次長,あかつきとミクが無事にミッションを完遂できる事を祈ってます。
12/13/2009 11:00:08,みんみん,がんばって下さい
12/13/2009 11:02:25,T.CHO,金星で女神に合おうぜ
12/13/2009 11:08:07,TOMOHIRO SAWADA
12/13/2009 11:09:26,しじみP,ミク、はちゅね、いってらっしゃい！
12/13/2009 11:10:12,dororon,初音さん「あかつき」のフィギュアヘッドになるの巻。
12/13/2009 11:11:22,ityou,がんばれJAXA！
12/13/2009 11:17:40,ひなた,ミックミクぱねる、楽しみにしてますｗ
12/13/2009 11:21:33,みー,はちゅねを金星に！次はタコルカを火星に！
12/13/2009 11:24:47,鈴木崇史,電子の歌姫が愛と美の女神に謁見に参ります
12/13/2009 11:25:55,しんじ,みんなの夢とミクを乗せていってらっしゃい！
12/13/2009 11:30:21,mobaio,あかつきの空へ飛べ！ミク！
12/13/2009 11:30:46,YUKIKAZE,科学の限界を超え女神(ヴィーナス)へ
12/13/2009 11:32:13,あかつきひろあき,あかつきみくもあかつきも応援してます！
12/13/2009 11:35:43,Non,金星人もみっくみく
12/13/2009 11:37:26,タカシフミ,みっくみくにしてやんよ！
12/13/2009 11:39:01,みっくみくにされし者,応援してるよ～。宇宙進出
12/13/2009 11:40:55,kaitou
12/13/2009 11:41:29,Hershell,隣の星まで無事な航海を！
12/13/2009 11:41:58,かいとう,頑張ってください、応援してます！！ミクの存在を宇宙人にも教えてあげよう！！
12/13/2009 11:50:49,灸洞,金星をキングギドラから救って！
12/13/2009 11:51:02,Rey.,あかつき、応援しています。
12/13/2009 11:52:14,n.o,むこうはどんなところでしょうか？
12/13/2009 11:53:08,Eji,ビーナスにこんにちは、私たちの歌姫とあかつきが旅立つ！
12/13/2009 11:56:16,げら,金星人が居ないか見てきてね
12/13/2009 11:58:32,STIC,金星も、みっくみく!にしてきてね。
12/13/2009 12:01:35,matogawa183
12/13/2009 12:04:03,小口裕希,あかつき！ミクと共に翔べ
12/13/2009 12:08:56,monja500
12/13/2009 12:11:30,小夜,ミク可愛いよミク
12/13/2009 12:12:51,kazuhito,金星にたどりついたらビーナスに！！
12/13/2009 12:15:34,konaya,ついにミクも宇宙デビュー？成功を祈ります！
12/13/2009 12:20:34,tsukumo,すごく夢があっていいと思います。あかつきの皆さんも、ミクも頑張ってください！
12/13/2009 12:32:39,から。,あかつきにミク、いいですね！
12/13/2009 12:33:09,あいざっく,ぜひお願いします！
12/13/2009 12:33:38,山本憲喬,あかつき、応援してますよ！
12/13/2009 12:36:06,tarumizu,あかつきとミク　COOL JAPAN
12/13/2009 12:36:49,oscarx,ミッションが成功しますように
12/13/2009 12:37:07,けん,あかつき　がんばれ。ミクさんと輝こう
12/13/2009 12:42:54,ゆづ,あかつき、ミクとともにがんばれ！
12/13/2009 12:48:26,赤色７号,これで宇宙もみっくみくだぁぁぁ！
12/13/2009 12:48:30,しれろ,宇宙最高
12/13/2009 12:49:59,Yuki,みくぅうぅぅ
12/13/2009 12:50:33,ba capo,ボカロを宇宙に!!
12/13/2009 12:51:08,helicen,みっくみくにしてやんよぉ
12/13/2009 12:57:05,MIKU,鳩山の嫁もビックリ!
12/13/2009 12:57:26,氷刃,ミク行け！ あかつき超ガンバレ！
12/13/2009 13:00:19,とっさん,そこになにがあるのか、見てきてください
12/13/2009 13:00:55,宇宙に夢を,VOCALOID
12/13/2009 13:03:55,telomere,あかつきよ、金星をみっくみくにしてやってくれ
12/13/2009 13:03:58,あべち,ヴィーナスへ私達のヴィーナス・ミクを届けましょう！
12/13/2009 13:06:16,NEMO,みんなの夢を乗せて！
12/13/2009 13:07:48,admoon,はちゅねよあかつきとともに
12/13/2009 13:12:59,はりせん,宇宙もみっくみくに！
12/13/2009 13:13:03,あさヤン,１万人まで突っ走れ！
12/13/2009 13:13:43,あさヤン,１万人まで突っ走れ！
12/13/2009 13:16:18,モコLock
12/13/2009 13:17:38,屋根裏納戸,探査機あかつきが無事金星に到達しミッションを成功することを祈って
12/13/2009 13:19:17,取り敢えず,頑張れ!
12/13/2009 13:20:36,SIMS,がんばれあかつき、がんばれ初音
12/13/2009 13:22:10,にゃも,応援しちょるｗ
12/13/2009 13:23:08,lightroom360,あかつきがんばれ！そして、みっくみく！
12/13/2009 13:25:29,pizza,あかつき、ミクちゃん行ってらっしゃい！
12/13/2009 13:31:21,マージ,宇宙までみっくみくー！
12/13/2009 13:31:26,遊兎,科学のロマンを再び
12/13/2009 13:33:51,芋|='д'),JAXAは日本の誇りです。
12/13/2009 13:35:04,ryonkr,ミクもあかつきも応援してます！
12/13/2009 13:35:12,レィレ,頑張れ！
12/13/2009 13:35:24,六望 風
12/13/2009 13:35:54,あゆ焼き,未来から来て宇宙に行くんですね♪
12/13/2009 13:36:05,大崎,楽しいこと好きなんでー
12/13/2009 13:37:16,タコ足,あかつきは見た！ミクも見た！
12/13/2009 13:39:22,くろの介,あかつきがんばれ！！JAXAがんばれ！！
12/13/2009 13:40:54,ranranra,金星まで行ってしまえー
12/13/2009 13:41:09,コシヌケ1040,なぞにいどむうたひめとあかつきにさちあれ
12/13/2009 13:42:05,日和,あかつきの空の向こうを見ておいで、ミク！
12/13/2009 13:42:16,ぽぷら,探査成功をお祈りしています！
12/13/2009 13:45:12,かくさん,あかつき ミクは頼みました
12/13/2009 13:46:16,木木,良い旅を！
12/13/2009 13:47:24,haizin_blue,届け！金星まで！
12/13/2009 13:49:51,Ramunoki
12/13/2009 13:51:34,おいち,あかつきがんばって！　応援してます！
12/13/2009 14:01:11,なな,宇宙を駆けるミク、がんばれ！
12/13/2009 14:07:20,akira,わしの嫁が宇宙へいくよ
12/13/2009 14:13:41,古都,金星にあかつきが無事に辿り着けますように。初音さんもぜひ一緒に！
12/13/2009 14:16:34,monariz,行けミク！人類初金星に！
12/13/2009 14:20:41,ななころび
12/13/2009 14:22:10,かごうま,壊れずに飛んでくれ～！
12/13/2009 14:29:56,Cartesian,金星まで長旅いってらっしゃ～い★
12/13/2009 14:32:23,k.s.m.2,尻Pのミク声探査機に一票
12/13/2009 14:34:27,tyounannzu,全力で応援させていただきます
12/13/2009 14:36:41,gzkb
12/13/2009 14:39:49,tagama,応援します！がんばって！
12/13/2009 14:41:01,和泉聡,初音ミクが金星に行けますように
12/13/2009 14:41:12,所長,とても楽しみにしています。頑張って
12/13/2009 14:42:11,kuoki,一番星の秘密を教えて！頑張れ暁！
12/13/2009 14:45:59,Verus,遠い未来に発見した人が戸惑うことを期待して！
12/13/2009 14:47:13,kuma966,あかつきもミクも金星への長旅、無事を祈る
12/13/2009 14:47:13,皆月,JAXAもあかつきもミクもみんな頑張れ＾＾
12/13/2009 14:50:51,pompom,宇宙へ広がるミクさんの輪！
12/13/2009 14:51:00,gemsway,ぜひ。みっくみくで一枚にしちゃおう
12/13/2009 14:51:14,水銀,宇宙初の痛探査機に期待
12/13/2009 14:52:27,110K5,さきがけ、のぞみ、はやぶさに遜色のない仕事を！
12/13/2009 14:52:30,ねこ大佐,JAXAがんばれにゃあ！
12/13/2009 15:01:54,yz,JAXAと共に頑張れミク！金星もみっくみくにしてしまえ
12/13/2009 15:07:05,tate,ミクもあかつきを見守ってあげて下さい
12/13/2009 15:09:25,wstareiji,ＪＡＸＳのノリの良さに惚れた！がんばってください。！！
12/13/2009 15:14:49,masakiooji,宇宙にはロマンが溢れていて胸が躍る、ガンバレ！
12/13/2009 15:19:24,zank,飛べあかつき！ミクを金星に連れて行って！
12/13/2009 15:25:09,淀川遥,日本の夢を乗せて宇宙を駆けてください！
12/13/2009 15:36:06,メロム,さぁ、金星をみっくみくにしてくるんだ！
12/13/2009 15:41:28,niuz,金星もミクミクにしてやんよｗ
12/13/2009 15:47:33,あきら,惑星気象衛星！観測内容が今から楽しみです
12/13/2009 15:49:37,maei,Universe!みんな！宇宙はいいところだ！
12/13/2009 15:49:38,クロスロ,明星さんによろしくお伝え下さい
12/13/2009 15:54:11,ダメ人間生活協同組合,我らの初音ミクが宇宙へ･･･応援します
12/13/2009 15:56:21,田村博,金星のかけら取ってきてください!
12/13/2009 15:56:56,yuuann,飛べ！あかつきとともに宇宙へ
12/13/2009 16:00:53,k-sk,金星までミクの歌声を！あかつき頑張れ！
12/13/2009 16:05:19,よるち,勘違いしないでよっ！ べ、別にアンタのために応援してるワケじゃないんだからねっ！
12/13/2009 16:13:40,kotta,猫だって宇宙に行ってみたいのです。
12/13/2009 16:19:03,さささ,金星到着のあかつきには宇宙全部みっくみく
12/13/2009 16:21:37,cdhn,あかつき、ミク、金星へ。成功祈る！
12/13/2009 16:25:28,宇宙戦士OK,がんばれJAXA！がんばれ「あかつき」！
12/13/2009 16:26:51,スズカスギルオカ
12/13/2009 16:31:20,黒零,JAXAの考慮に感謝＆ミッションの成功をお祈りいたします。
12/13/2009 16:31:24,drydog,新しい文化の流れの象徴として
12/13/2009 16:32:18,ﾋﾟｬｰ!,これは全力で支援。飛べ
12/13/2009 16:32:22,御於紗馬,はちゅねもミクも両方がんばれ
12/13/2009 16:39:36,草柳,日本の宇宙開発に期待
12/13/2009 16:41:21,Araki,電子の歌姫よビーナスにてその声を響かせろ
12/13/2009 16:42:57,てぃえりん,JAXA＆あかつき、はちゅね＆ミク～愛だ
12/13/2009 16:54:57,Ryo,あかつきがんばってください！
12/13/2009 16:58:16,たっぴぃ,あかつき翔け ミクの歌声と共に
12/13/2009 16:59:23,あうとばっく,あかつき君 ミクを載せて行ってらっしゃい!
12/13/2009 17:00:26,chart,ミクもあかつきも誇るべき技術です！
12/13/2009 17:03:21,柿太郎,JAXA＆はちゅね　がんばれ！！
12/13/2009 17:03:21,サミア,宇宙の歌姫とあかつきとヴィーナス!!
12/13/2009 17:13:31,atsushi_ig,ビーナスとミクとあかつき三重唱
12/13/2009 17:16:33,オーベルシュタイン,行ってらっしゃーい
12/13/2009 17:24:03,NOA,DIVAがVENUSに会いに行くとは、なんとロマンティックな話！
12/13/2009 17:25:57,lynnmaeda,はちゅねミク萌え、金星へ
12/13/2009 17:33:40,Ryo_Hosen,夢あるプロジェクトに賛同♪
12/13/2009 17:38:37,KY,金星に行けると良いですね
12/13/2009 17:42:37,バルクハウゼン,宇宙はロマンですよね＾＾頑張って！
12/13/2009 17:44:02,To_No,金星からの便りを楽しみにしているよ！
12/13/2009 17:44:03,らぱっぱ～,皆の女神、頼んだよ！あかつき･JAXA！
12/13/2009 17:44:17,さや,あかつき・JAXA・初音ミク共に金星へ！
12/13/2009 17:51:33,ニョンタ,あかつきは歌姫を載せた史上初の宇宙船
12/13/2009 17:55:56,としひこ,ミクは奇跡の子　幸運をあかつきに。
12/13/2009 17:56:28,ポン太,今、万感の想いを込め、あかつきが飛ぶ。はちゅねを乗せて。
12/13/2009 18:02:12,おわ！,凄いことになってる。。。頑張れ！
12/13/2009 18:05:36,alhena,無事に任務が終了する事を心より祈っています。
12/13/2009 18:06:22,みなみ,そうだ金星に行こう・・
12/13/2009 18:09:25,霧島アキラ,ガンガレあかつきandミク
12/13/2009 18:13:26,なつほ
12/13/2009 18:14:17,ばびぶべぼん,「あかつき」と共に宇宙をみっくみくにしてやんよ！
12/13/2009 18:15:26,でぃめとろ丼,あかつきの探査がうまくいきますように
12/13/2009 18:15:49,Phlox,あかつき、ミクを女神に会わせて！
12/13/2009 18:21:18,ユウ,日本の底力見せちゃお~
12/13/2009 18:22:19,月代＠ばろん,金星までとんでけー！
12/13/2009 18:30:37,khira,がんばれ！あかつき
12/13/2009 18:31:14,樫木佐帆,何………だと…！？
12/13/2009 18:33:40,日本橋　健一郎,ボーカロイド最高っ！
12/13/2009 18:39:18,漁労長,科学の限界を超えろ~
12/13/2009 18:44:26,くわんちゃん
12/13/2009 18:48:43,rama,ミッションの成功をお祈りいたします。スタッフのみなさんも頑張ってね
12/13/2009 18:49:46,はとはと,痛いぜ!
12/13/2009 18:51:46,valis,金星探査が滞りなく完了する事を願って
12/13/2009 18:56:30,蛍,宇宙にまで痛機が…
12/13/2009 18:58:16,沙鳥,…もちろん打ち上がるよな。
12/13/2009 18:59:09,陽滋,金星まで届いてくれよ…。
12/13/2009 18:59:57,Ｈｉｒｏ,てってってー　てってっててー
12/13/2009 19:01:05,たつや,任務成功を祈ろう!ミクのためにも…
12/13/2009 19:01:10,T.Nob,金星もみっくみくにしてやんよ！
12/13/2009 19:02:21,hide,無事に大役を果たしてきて下さい！
12/13/2009 19:02:46,hidekiy,あかつきは日本の希望！
12/13/2009 19:03:39,Rkp,ミクミクパワーで金星まで飛んでいけ！
12/13/2009 19:07:01,*p,あかつきも金星もみっくみくにしてやんよ
12/13/2009 19:07:37,コリドラス,まだまだかかるのか・・・ガンバレ！
12/13/2009 19:09:59,STRATO'S,あつきの成功心よりお祈りします！
12/13/2009 19:17:21,nao244245,夢の宇宙へGO!!
12/13/2009 19:17:49,べつたん,あかつきと未来へ向かう初音かな
12/13/2009 19:31:12,Quinn,その歌と共に宇宙へ…！
12/13/2009 19:33:49,パインツリー
12/13/2009 19:47:06,ミク好き,ミク大好き～
12/13/2009 19:56:49,師範,ネギと金星蟹で鍋だ！
12/13/2009 19:57:57,c.,あかつき期待してます！金星もみっくみく！
12/13/2009 20:03:27,Takyoshi ARAKAWA,金星大気の謎解き期待してます
12/13/2009 20:05:02,ＨＡＲＵＲＵ,太陽系をみっくみくにしてやんよ
12/13/2009 20:06:16,ざきひろ,あかつきさんいろいろ頑張って下さい。
12/13/2009 20:07:06,かみざきりゅうま
12/13/2009 20:09:16,たるめ,金星？みくみくにしてやんよ
12/13/2009 20:09:40,stts1,金星をみっくみく
12/13/2009 20:09:56,shin,JAXA応援してます！飛べ、俺らの歌姫！！
12/13/2009 20:11:38,初音ミク
12/13/2009 20:20:34,easily,あかつきかわいい！
12/13/2009 20:21:16,29面相,あかつき頑張れ！
12/13/2009 20:22:59,joy　of　a　toy,狙うは大金星
12/13/2009 20:23:55,tobiaki,夢を広げる技術の発展を願って。
12/13/2009 20:26:15,テルル
12/13/2009 20:27:51,乱れ桜！！,あかつき、ミクよ！宇宙へ進出だ！！
12/13/2009 20:28:29,vodar,日本の宇宙工学に発展あれ！
12/13/2009 20:33:08,はる,応援しています！
12/13/2009 20:37:15,斉藤隆,なんかよくわからんが頑張れ！
12/13/2009 20:40:33,黒羽,夢と技術を乗せて、はばたけ「あかつき」
12/13/2009 20:43:16,oladabas,金星まで歌を届けよう！
12/13/2009 20:43:27,nex,一万は厳しいのう
12/13/2009 20:44:27,sinomasa,プロジェクトの成功を心からお祈りしてます
12/13/2009 20:44:36,noriyo,May the force be with Miku
12/13/2009 20:45:19,dddmania,金星ははちゅね、火星はたこルカの方向で
12/13/2009 20:45:34,hexagrammos,応援してるよ！
12/13/2009 20:48:03,hitoko
12/13/2009 20:49:22,787,期待しています。めざせ1万人!
12/13/2009 20:51:15,オレンジジラフ,∩( 'ヮ' 三 'ヮ' )∩
12/13/2009 20:53:09,stopwatch,金星あかつきミクJAXA
12/13/2009 20:56:49,T,ぼかぼかにしてやんよ♪
12/13/2009 20:57:11,けんせー,ぜひ、実現を！
12/13/2009 21:04:35,物部珠李,地球上の生きとし生ける全ての者が生命と言う名絆で結ばれます様に♪
12/13/2009 21:07:24,chelseatoshi,あかつき！Venusの姿を見せてくれ
12/13/2009 21:08:48,りーれ
12/13/2009 21:08:53,U-nira,宇宙(そら)へミク
12/13/2009 21:12:13,ぢゃこうねこ,金星もみっくみくになるんだ。
12/13/2009 21:12:48,KAIZA,応援しています。いい企画ですね！
12/13/2009 21:14:39,物部珠李,地球上の生きとし生ける者が生命と言う名の絆で結ばれます様に♪
12/13/2009 21:16:36,八岐大蛇,応援しています、がんばれ。
12/13/2009 21:19:19,heiderich,ミクが金星にいったという証が欲しいんですよ！
12/13/2009 21:21:30,おかずP,ミクにJAXAにミッション成功を願って！
12/13/2009 21:37:19,TITOR,AKATSUKI WITH MIKU WILL BE AN OOPARTS!
12/13/2009 21:39:08,さくらさく,技術好きの市民の声を集めて夢を現実に
12/13/2009 21:43:16,STR.,これからも僕達にわくわくを届けてください！
12/13/2009 21:43:27,北原あずな,金星もみっくみく！　あかつき関係者様おつ
12/13/2009 21:45:45,青島　若鷺,科学の限界を超えて、届けてミクの歌声を！
12/13/2009 21:46:31,モカ,金星にいってらっしゃい！
12/13/2009 21:46:41,小規模板工房,ミクの金星ステージへGo!
12/13/2009 21:49:29,utata,JAXAがんばれ！
12/13/2009 21:54:45,ぱんぱん,俺も生きてる間に宇宙行ってみたい！
12/13/2009 21:55:35,燕野郎,あかつきもミクも頑張れ！
12/13/2009 21:55:50,oniＱ
12/13/2009 22:00:53,空野　竜志,金星進出応援してますよー
12/13/2009 22:02:30,tks,あかつきミクを一緒に連れてってー
12/13/2009 22:03:02,TAMA＠たまちゃん先輩,宇宙に飛び立て！初音ミク！
12/13/2009 22:04:49,こ～りん
12/13/2009 22:05:14,disk,ミク宇宙に飛ぶ！
12/13/2009 22:06:43,のぞみ,ミクによって知りました。頑張って下さい^^
12/13/2009 22:09:37,qos,参加
12/13/2009 22:11:22,Ｋｒｍ．,ミク！宇宙でハジメテノオトを響かせてこい！！
12/13/2009 22:16:09,unkei,ミクの故郷から応援！
12/13/2009 22:18:13,matteru,まずは金星征服♪
12/13/2009 22:26:17,ごくつぶし,頑張って飛んで行け～
12/13/2009 22:28:08,Plasma-Z,宇宙探査が一層身近に感じられます。
12/13/2009 22:28:30,CHILL_K,JAXAの皆様頑張ってください。応援してます!!!
12/13/2009 22:28:54,王舞大野,これぞ宇宙の平和利用！
12/13/2009 22:30:46,デイズ
12/13/2009 22:32:57,小野宮,初音ミク宇宙デビューへ。予算に負けず頑張って欲しい
12/13/2009 22:33:25,野口達彦,日本の初音ミクをよろしくお願いします(｀・ω・´)
